"volume","category","canonical_path","original_path","size_bytes","sha256","action"
"1","other","vol_1\derivatives\other\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_rotations.json","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_rotations.json","37457","52493859a7874dbc6522908ae49a5248b70acab04882636c27de196f0d284044","skipped_existing"
"1","page_map","page_maps\vol_1\scandata.xml","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_scandata.xml","143814","91d643beb4bc104a171f4d4d6515a82170b405a296ac9b33338fc5a98d7ea163","skipped_existing"
"1","other","vol_1\derivatives\other\header\header_0000.jp2","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\header\header_0000.jp2","347320","05050b03eb92182f8252ef333b78e1709bab14e86c8d0b2d8b2b14a549e48d81","skipped_existing"
"1","other","vol_1\derivatives\other\header\header_0001.jp2","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\header\header_0001.jp2","1967272","6e2416d90577905e89415ba37bd8894128011594f641f54646c8003814fdf771","skipped_existing"
"1","other","vol_1\derivatives\other\header\header_0002.jp2","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1\header\header_0002.jp2","535218","caef3822aabc066d1b4925796d38d13514acb49ad2f6c24384f19c63e6c536c3","skipped_existing"
"2","other","vol_2\derivatives\other\__ia_thumb.jpg","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\__ia_thumb.jpg","12594","f4085a76ae14e726eb04edf34a84f2619f0104f5b644328c64e63c7b194b8d60","skipped_existing"
"2","epub","vol_2\derivatives\epub\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2.epub","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2.epub","202695917","6ea3a0e14e1e2168f29f3a8cc90bfaaff9ce2554e94b586558525f185df85634","skipped_existing"
"2","pdf","vol_2\pdf\motte_1729_vol2.pdf","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2.pdf","203563013","2e7854d184a72a0c43f2ec3dc5e48364763fbd2a5a21e3434bff3dab78184fca","skipped_existing"
"2","torrent","vol_2\derivatives\torrent\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_archive.torrent","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_archive.torrent","30942","9f628b2a19f04be39c83d555c35f4a74fe6ac1aa08aec844e4362b057614a74e","skipped_existing"
"2","other","vol_2\derivatives\other\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_chocr.html.gz","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_chocr.html.gz","12327400","8744c96daadd6031c12bbaaede2603ef77633a0bfa380e3ae5aefa33301759b6","skipped_existing"
"2","ocr","ocr\vol_2\djvu.txt","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_djvu.txt","833180","f21fdea492f047165081810f230985a2c7648df748e8a3afe929bf985a21fe99","skipped_existing"
"2","ocr","ocr\vol_2\djvu.xml","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_djvu.xml","12387784","ebb1a62b99f471ba72017ae4788811794716e0f7bc6645254c33a638ec1f72d8","skipped_existing"
"2","archive_metadata","vol_2\archive_raw\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_files.xml","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_files.xml","10670","da026b945e47f9a8d283f9c3f86e6bc9e7f92bd865a994a3d0a3d9ad025633d3","skipped_existing"
"2","other","vol_2\derivatives\other\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_frame-md.json","E:\Download\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2\bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_2_frame-md.json","223","e34fff11e54c780dc2e3829a480557c04765ccd55292ba356093aac0fc9a54a5","skipped_existing"
