relative_path	file_name	extension	size_bytes	last_write_time
__ia_thumb.jpg	__ia_thumb.jpg	.jpg	15321	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1.epub	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1.epub	.epub	181361866	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1.pdf	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1.pdf	.pdf	138984203	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_archive.torrent	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_archive.torrent	.torrent	44931	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_chocr.html.gz	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_chocr.html.gz	.gz	7984854	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_djvu.txt	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_djvu.txt	.txt	540408	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_djvu.xml	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_djvu.xml	.xml	8111957	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_files.xml	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_files.xml	.xml	11115	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_frame-md.json	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_frame-md.json	.json	219	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_hocr.html	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_hocr.html	.html	16213155	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_hocr_pageindex.json.gz	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_hocr_pageindex.json.gz	.gz	4855	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_hocr_searchtext.txt.gz	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_hocr_searchtext.txt.gz	.gz	157850	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_itemimage.png	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_itemimage.png	.png	2586420	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_jp2.zip	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_jp2.zip	.zip	1483125258	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_lcp.epub	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_lcp.epub	.epub	188052840	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_meta.sqlite	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_meta.sqlite	.sqlite	57344	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_meta.xml	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_meta.xml	.xml	4001	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_page_numbers.json	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_page_numbers.json	.json	69827	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_rotations.json	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_rotations.json	.json	37457	2026-05-31T01:21:42
bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_scandata.xml	bim_eighteenth-century_principia-english-th_newton-sir-isaac_1729_1_scandata.xml	.xml	143814	2026-05-31T01:21:42
header\header_0000.jp2	header_0000.jp2	.jp2	347320	2026-05-31T01:21:42
header\header_0001.jp2	header_0001.jp2	.jp2	1967272	2026-05-31T01:21:42
header\header_0002.jp2	header_0002.jp2	.jp2	535218	2026-05-31T01:21:42
